,0,1
0,train_loss,val_loss
1,448262569.2349537,63001770.09375
2,261552966.94038448,31521611.166666668
3,92085878.97106482,26927112.5
4,74919447.16435185,11004467.15625
5,48361115.22173394,33917133.5625
6,158063601.416956,21794604.604166668
7,66064255.61624711,14181879.166666666
8,71219234.8376736,20591585.75
9,54501593.061197914,209015.361328125
10,55840615.68504051,1565760.453125
11,39520493.23057726,361263.5625
12,32380026.75028935,2551783.0625
13,44653679.8916739,485467.7356770833
14,12334781.658420138,2690007.203125
15,27934172.437906902,565132.625
16,31498369.46947338,1582831.0625
17,37554087.36168981,875864.8619791666
18,23164153.912037037,478069.26806640625
19,213929416.067853,347285.6975911458
20,39802436.12818287,16743488.166666666
21,51200026.91218171,13224369.583333334
22,22613245.208984375,7987487.75
23,35521036.11950231,424018.125
24,7694675.297715928,322896.2825520833
25,8157178.40697338,400405.5509033203
26,9941924.864031756,536196.9073689779
27,17207809.77137587,638117.0885416666
28,5515594.230857567,82079.40096028645
29,5196083.135083234,623437.1458333334
30,12438852.1775897,644066.7135416666
31,7830279.365564417,733194.8802083334
32,4795800.766782408,761694.2330729166
33,7563413.278492115,556733.0364583334
34,9012486.175446687,331444.5260416667
35,8480014.54333044,299964.0234375
36,9349514.628338037,71493.85286458333
37,15323329.51756004,761551.2395833334
38,15984350.94373915,425132.9153645833
39,6477512.414279514,148114.78255208334
40,6409017.002364547,43535.5976155599
41,7490054.378681324,142078.89583333334
42,4800325.601924189,641954.0833333334
43,12348793.312246816,138751.15104166666
44,5060227.959318938,80226.66666666667
45,5010139.1535373265,57803.17675038179
46,2500749.1647858797,643421.4375
47,2350759.097077546,98841.91536458333
48,3281222.8484875713,343525.2708333333
49,4414919.821754738,170383.97135416666
50,5324606.785924841,110984.71712239583
51,7269595.285472728,1465772.5833333333
52,4302288.228439896,88458.51729329427
53,1269026.183331525,307407.4514973958
54,2841306.465422454,96152.90950520833
55,3774322.4333043983,45506.146809895836
56,1874112.9456380208,8968.157023111979
57,3624465.7222583913,118584.6953125
58,3314124.843632451,22124.766927083332
59,2002767.8457302516,26332.797770182293
60,3827266.218311451,11290.726338704428
61,3723696.9918077257,28833.989135742188
62,1835305.2809696903,31843.283284505207
63,1403546.716688368,20991.16357421875
64,2144482.4792751735,11806.373697916666
65,2786123.7958441842,43806.117838541664
66,1270749.0101512626,57936.044921875
67,2313987.215476707,22368.426228841145
68,1200148.8635163484,78433.96728515625
69,869481.2844170465,12775.141072591146
70,1143106.7683724298,9486.020863850912
71,1107166.4262152778,6981.557210286458
72,736128.639847367,8679.641560872396
73,1074229.1998743128,3420.1871541341147
74,880984.2452709057,41699.205891927086
75,2193223.88708044,14991.282552083334
76,1088480.6303891782,34935.924153645836
77,1145115.938994231,35553.90982055664
78,1334030.4283854167,43422.962158203125
79,786038.6421531395,55524.799153645836
80,1260237.2555338542,13364.027038574219
81,904068.7553756149,38341.646647135414
82,984677.5676721643,51200.891438802086
83,1129153.3882197628,60850.536458333336
84,1307717.3668461551,41563.811686197914
85,837825.0098108362,13953.188151041666
86,973649.8461235894,27569.796630859375
87,752947.7359506113,34505.49609375
88,643107.7210456,21684.563598632812
89,871385.8464445891,14145.5107421875
90,577515.8572319879,24013.734375
91,792802.1782904731,16853.80864461263
92,738738.3064055266,31550.253011067707
93,1414069.9163321035,16115.734398523966
94,646665.1068431713,18167.399169921875
95,777839.6628033674,66783.47981770833
96,707531.3494118585,47880.321614583336
97,824426.9725070529,16444.982452392578
98,654717.3526710228,14709.551350911459
99,399147.8932246455,12744.028180440268
100,649497.0884772406,12563.142506917318
